country,Code,Year,Gender wage gap %,,Wage Gap Whole Number,,,
Brazil,BRA,1981,34.21,,3421,,Avg,10.88694915
Brazil,BRA,1982,33.66,,,,Median,10.68
Brazil,BRA,1983,35.75,,,,Mode,0
Brazil,BRA,1984,34.04,,,,STD,10.24187295
Brazil,BRA,1985,28.58,,,,Empty Cells,0
Argentina,ARG,1986,15.79,,,,rows,4
Brazil,BRA,1986,34.69,,,,columns,413
Argentina,ARG,1987,12.5,,,,,
Brazil,BRA,1987,32.01,,,,,
Argentina,ARG,1988,11.31,,,,,
Brazil,BRA,1988,30.88,,,,,
Costa Rica,CRI,1989,4.55,,,,,
Venezuela,VEN,1989,11.78,,,,,
Panama,PAN,1989,18.18,,,,,
Mexico,MEX,1989,20.58,,,,,
Uruguay,URY,1989,22.22,,,,,
Brazil,BRA,1989,33.33,,,,,
Costa Rica,CRI,1990,3.13,,,,,
Brazil,BRA,1990,26.11,,,,,
Chile,CHL,1990,26.45,,,,,
Jamaica,JAM,1990,28.42,,,,,
Costa Rica,CRI,1991,1.23,,,,,
Panama,PAN,1991,4.55,,,,,
Argentina,ARG,1991,6.71,,,,,
Honduras,HND,1991,19.35,,,,,
Costa Rica,CRI,1992,1.03,,,,,
Argentina,ARG,1992,8.33,,,,,
Venezuela,VEN,1992,12.23,,,,,
Brazil,BRA,1992,15.44,,,,,
Honduras,HND,1992,19.44,,,,,
Bolivia,BOL,1992,21.05,,,,,
Uruguay,URY,1992,21.82,,,,,
Chile,CHL,1992,24.47,,,,,
Mexico,MEX,1992,25.35,,,,,
Belize,BLZ,1993,-28.27,,,,,
Costa Rica,CRI,1993,-6.53,,,,,
Nicaragua,NIC,1993,6.78,,,,,
Argentina,ARG,1993,7.69,,,,,
Honduras,HND,1993,20.45,,,,,
Brazil,BRA,1993,25.62,,,,,
Bolivia,BOL,1993,30.95,,,,,
Argentina,ARG,1994,-2.27,,,,,
Costa Rica,CRI,1994,-0.68,,,,,
Belize,BLZ,1994,9.24,,,,,
Honduras,HND,1994,14.04,,,,,
Mexico,MEX,1994,16.87,,,,,
Costa Rica,CRI,1995,2.28,,,,,
Argentina,ARG,1995,4.44,,,,,
Panama,PAN,1995,8.33,,,,,
Venezuela,VEN,1995,13.21,,,,,
Uruguay,URY,1995,16.32,,,,,
Honduras,HND,1995,21.13,,,,,
Brazil,BRA,1995,24.14,,,,,
Costa Rica,CRI,1996,-5.56,,,,,
Argentina,ARG,1996,-2.33,,,,,
Honduras,HND,1996,13.25,,,,,
Uruguay,URY,1996,14.94,,,,,
Chile,CHL,1996,17.37,,,,,
Mexico,MEX,1996,17.7,,,,,
Brazil,BRA,1996,20.59,,,,,
Jamaica,JAM,1996,21.81,,,,,
Dominican Republic,DOM,1996,22.12,,,,,
Costa Rica,CRI,1997,-2.15,,,,,
Argentina,ARG,1997,0,,,,,
Belize,BLZ,1997,0.5,,,,,
Paraguay,PRY,1997,0.95,,,,,
Dominican Republic,DOM,1997,7.75,,,,,
Venezuela,VEN,1997,10.72,,,,,
Uruguay,URY,1997,13.29,,,,,
Panama,PAN,1997,16,,,,,
Honduras,HND,1997,17.76,,,,,
Brazil,BRA,1997,20,,,,,
Peru,PER,1997,20,,,,,
Belize,BLZ,1998,-3.26,,,,,
Costa Rica,CRI,1998,-2.38,,,,,
Argentina,ARG,1998,6.82,,,,,
Panama,PAN,1998,10.34,,,,,
Uruguay,URY,1998,14.68,,,,,
Venezuela,VEN,1998,15.87,,,,,
Mexico,MEX,1998,16.37,,,,,
Brazil,BRA,1998,17.14,,,,,
Chile,CHL,1998,18.75,,,,,
Nicaragua,NIC,1998,19.59,,,,,
Peru,PER,1998,21.43,,,,,
Honduras,HND,1998,26.39,,,,,
Belize,BLZ,1999,-9.35,,,,,
Costa Rica,CRI,1999,-1.32,,,,,
Argentina,ARG,1999,2.44,,,,,
Venezuela,VEN,1999,6.11,,,,,
Suriname,SUR,1999,6.18,,,,,
Jamaica,JAM,1999,6.67,,,,,
Panama,PAN,1999,7.69,,,,,
Paraguay,PRY,1999,8.56,,,,,
Peru,PER,1999,12.2,,,,,
Bolivia,BOL,1999,12.7,,,,,
Brazil,BRA,1999,17.14,,,,,
Honduras,HND,1999,17.65,,,,,
Venezuela,VEN,2000,-3.75,,,,,
Costa Rica,CRI,2000,-1.31,,,,,
Argentina,ARG,2000,0,,,,,
Panama,PAN,2000,3.45,,,,,
El Salvador,SLV,2000,8.15,,,,,
Uruguay,URY,2000,9.66,,,,,
Dominican Republic,DOM,2000,10.06,,,,,
Bolivia,BOL,2000,11.11,,,,,
Guatemala,GTM,2000,18.82,,,,,
Mexico,MEX,2000,23.87,,,,,
Peru,PER,2000,25.64,,,,,
Chile,CHL,2000,25.9,,,,,
Panama,PAN,2001,0,,,,,
Costa Rica,CRI,2001,0.62,,,,,
Venezuela,VEN,2001,2.39,,,,,
Argentina,ARG,2001,2.5,,,,,
Nicaragua,NIC,2001,2.96,,,,,
Honduras,HND,2001,4.83,,,,,
Jamaica,JAM,2001,6.9,,,,,
Dominican Republic,DOM,2001,7.85,,,,,
Paraguay,PRY,2001,8.99,,,,,
El Salvador,SLV,2001,9.09,,,,,
Uruguay,URY,2001,10.1,,,,,
Peru,PER,2001,15,,,,,
Haiti,HTI,2001,16.04,,,,,
Brazil,BRA,2001,17.5,,,,,
Bolivia,BOL,2001,19.7,,,,,
Costa Rica,CRI,2002,-7.69,,,,,
Honduras,HND,2002,-3.13,,,,,
Panama,PAN,2002,0,,,,,
Venezuela,VEN,2002,1.9,,,,,
Dominican Republic,DOM,2002,3.27,,,,,
Uruguay,URY,2002,7.4,,,,,
Bolivia,BOL,2002,7.94,,,,,
Peru,PER,2002,11.9,,,,,
Argentina,ARG,2002,12.2,,,,,
Mexico,MEX,2002,12.5,,,,,
Brazil,BRA,2002,14.29,,,,,
Ireland,IRL,2002,14.92,,,,,
Jamaica,JAM,2002,15.33,,,,,
France,FRA,2002,16.59,,,,,
Belgium,BEL,2002,17.13,,,,,
Finland,FIN,2002,18.04,,,,,
Netherlands,NLD,2002,18.78,,,,,
Italy,ITA,2002,18.9,,,,,
Luxembourg,LUX,2002,18.95,,,,,
El Salvador,SLV,2002,19.33,,,,,
Spain,ESP,2002,20.22,,,,,
Greece,GRC,2002,25.47,,,,,
Germany,DEU,2002,25.61,,,,,
Austria,AUT,2002,26.4,,,,,
Paraguay,PRY,2002,28.24,,,,,
Argentina,ARG,2003,-4.55,,,,,
Costa Rica,CRI,2003,-4.06,,,,,
Paraguay,PRY,2003,-0.81,,,,,
Honduras,HND,2003,-0.45,,,,,
Panama,PAN,2003,0,,,,,
Venezuela,VEN,2003,0.3,,,,,
Ecuador,ECU,2003,6.25,,,,,
Dominican Republic,DOM,2003,9.18,,,,,
Uruguay,URY,2003,13.19,,,,,
Brazil,BRA,2003,16.67,,,,,
Peru,PER,2003,18.6,,,,,
Chile,CHL,2003,20.5,,,,,
Costa Rica,CRI,2004,-2.41,,,,,
El Salvador,SLV,2004,0,,,,,
Panama,PAN,2004,0,,,,,
Venezuela,VEN,2004,0.77,,,,,
Honduras,HND,2004,0.91,,,,,
Argentina,ARG,2004,2.08,,,,,
Paraguay,PRY,2004,5.47,,,,,
Uruguay,URY,2004,9.31,,,,,
Dominican Republic,DOM,2004,11.09,,,,,
Ecuador,ECU,2004,11.11,,,,,
Brazil,BRA,2004,17.65,,,,,
Peru,PER,2004,22.5,,,,,
Honduras,HND,2005,-23.18,,,,,
Argentina,ARG,2005,-1.72,,,,,
Panama,PAN,2005,0,,,,,
Dominican Republic,DOM,2005,5.04,,,,,
Venezuela,VEN,2005,5.1,,,,,
Costa Rica,CRI,2005,5.49,,,,,
El Salvador,SLV,2005,5.88,,,,,
Nicaragua,NIC,2005,9.93,,,,,
Uruguay,URY,2005,11.13,,,,,
Ecuador,ECU,2005,11.76,,,,,
Bolivia,BOL,2005,12.66,,,,,
Paraguay,PRY,2005,12.74,,,,,
Brazil,BRA,2005,14.55,,,,,
Peru,PER,2005,15.38,,,,,
Honduras,HND,2006,-10.08,,,,,
El Salvador,SLV,2006,-6.25,,,,,
Panama,PAN,2006,0,,,,,
Italy,ITA,2006,4.29,,,,,
Costa Rica,CRI,2006,4.4,,,,,
Guatemala,GTM,2006,5.34,,,,,
Ecuador,ECU,2006,5.56,,,,,
Venezuela,VEN,2006,6.43,,,,,
Belgium,BEL,2006,7.01,,,,,
Argentina,ARG,2006,8,,,,,
Dominican Republic,DOM,2006,8.77,,,,,
Luxembourg,LUX,2006,10.68,,,,,
Uruguay,URY,2006,11.71,,,,,
Chile,CHL,2006,14.41,,,,,
Brazil,BRA,2006,14.75,,,,,
France,FRA,2006,15.47,,,,,
Paraguay,PRY,2006,15.99,,,,,
Ireland,IRL,2006,17.22,,,,,
Spain,ESP,2006,17.9,,,,,
Peru,PER,2006,20.45,,,,,
Greece,GRC,2006,20.69,,,,,
Finland,FIN,2006,21.25,,,,,
Germany,DEU,2006,22.62,,,,,
Netherlands,NLD,2006,23.65,,,,,
Austria,AUT,2006,25.44,,,,,
Bolivia,BOL,2006,26.53,,,,,
Honduras,HND,2007,0,,,,,
Panama,PAN,2007,0,,,,,
El Salvador,SLV,2007,5.56,,,,,
Argentina,ARG,2007,6.67,,,,,
Paraguay,PRY,2007,9.58,,,,,
Costa Rica,CRI,2007,10,,,,,
Portugal,PRT,2007,10.65,,,,,
Uruguay,URY,2007,11.02,,,,,
Dominican Republic,DOM,2007,12.06,,,,,
Brazil,BRA,2007,14.71,,,,,
Ecuador,ECU,2007,15,,,,,
Peru,PER,2007,16.33,,,,,
Bolivia,BOL,2007,17.05,,,,,
Panama,PAN,2008,0,,,,,
Colombia,COL,2008,0.76,,,,,
Argentina,ARG,2008,2.68,,,,,
Dominican Republic,DOM,2008,5.42,,,,,
El Salvador,SLV,2008,5.56,,,,,
Costa Rica,CRI,2008,5.86,,,,,
Paraguay,PRY,2008,5.99,,,,,
Honduras,HND,2008,9.79,,,,,
Portugal,PRT,2008,11.74,,,,,
Mexico,MEX,2008,13.39,,,,,
Ecuador,ECU,2008,15,,,,,
Brazil,BRA,2008,15.49,,,,,
Uruguay,URY,2008,15.54,,,,,
Bolivia,BOL,2008,19.27,,,,,
Peru,PER,2008,20.37,,,,,
Honduras,HND,2009,-10.78,,,,,
Costa Rica,CRI,2009,-0.15,,,,,
El Salvador,SLV,2009,0,,,,,
Panama,PAN,2009,0,,,,,
Colombia,COL,2009,0.71,,,,,
Argentina,ARG,2009,1.52,,,,,
Nicaragua,NIC,2009,2.04,,,,,
Dominican Republic,DOM,2009,6.33,,,,,
Bolivia,BOL,2009,9.01,,,,,
Paraguay,PRY,2009,9.49,,,,,
Portugal,PRT,2009,9.67,,,,,
Ecuador,ECU,2009,10,,,,,
Brazil,BRA,2009,14.29,,,,,
Uruguay,URY,2009,15.46,,,,,
Peru,PER,2009,18.97,,,,,
Chile,CHL,2009,23.97,,,,,
South Korea,KOR,2009,35.09,,,,,
Honduras,HND,2010,-8.55,,,,,
Paraguay,PRY,2010,-1.56,,,,,
Argentina,ARG,2010,-0.61,,,,,
El Salvador,SLV,2010,0,,,,,
Panama,PAN,2010,0,,,,,
Slovenia,SVN,2010,0.66,,,,,
Dominican Republic,DOM,2010,1.7,,,,,
Mexico,MEX,2010,3.13,,,,,
Colombia,COL,2010,3.92,,,,,
Ecuador,ECU,2010,4.55,,,,,
Italy,ITA,2010,5.26,,,,,
Malta,MLT,2010,7.23,,,,,
Portugal,PRT,2010,7.64,,,,,
Luxembourg,LUX,2010,8.7,,,,,
Belgium,BEL,2010,10.2,,,,,
Uruguay,URY,2010,12.94,,,,,
Ireland,IRL,2010,13.87,,,,,
Greece,GRC,2010,15.07,,,,,
France,FRA,2010,15.62,,,,,
Spain,ESP,2010,16.25,,,,,
Cyprus,CYP,2010,16.84,,,,,
Netherlands,NLD,2010,17.45,,,,,
Slovakia,SVK,2010,19.66,,,,,
Finland,FIN,2010,20.29,,,,,
Germany,DEU,2010,22.28,,,,,
Peru,PER,2010,23.81,,,,,
Austria,AUT,2010,23.95,,,,,
South Korea,KOR,2010,34.27,,,,,
Panama,PAN,2011,-2.86,,,,,
Colombia,COL,2011,-2.08,,,,,
Malaysia,MYS,2011,-0.86,,,,,
Argentina,ARG,2011,0,,,,,
El Salvador,SLV,2011,0,,,,,
Guatemala,GTM,2011,5.71,,,,,
Paraguay,PRY,2011,6.91,,,,,
Uruguay,URY,2011,9.19,,,,,
Portugal,PRT,2011,9.58,,,,,
Bolivia,BOL,2011,10.22,,,,,
Dominican Republic,DOM,2011,11.78,,,,,
Ecuador,ECU,2011,12.5,,,,,
Chile,CHL,2011,16.15,,,,,
Brazil,BRA,2011,18.02,,,,,
Peru,PER,2011,22.06,,,,,
South Korea,KOR,2011,33.58,,,,,
Honduras,HND,2012,-15.76,,,,,
Malaysia,MYS,2012,-2.57,,,,,
Argentina,ARG,2012,-1.9,,,,,
El Salvador,SLV,2012,0,,,,,
Panama,PAN,2012,2.44,,,,,
Colombia,COL,2012,4.87,,,,,
Paraguay,PRY,2012,7.32,,,,,
Dominican Republic,DOM,2012,7.55,,,,,
Ecuador,ECU,2012,7.69,,,,,
Uruguay,URY,2012,8.59,,,,,
Portugal,PRT,2012,8.8,,,,,
Bolivia,BOL,2012,10.81,,,,,
Mexico,MEX,2012,13.98,,,,,
Brazil,BRA,2012,16.39,,,,,
Spain,ESP,2012,18.75,,,,,
Czechia,CZE,2012,21.25,,,,,
Peru,PER,2012,25.33,,,,,
South Korea,KOR,2012,32.69,,,,,
El Salvador,SLV,2013,-5.26,,,,,
Honduras,HND,2013,-4.37,,,,,
Malaysia,MYS,2013,-3.19,,,,,
Panama,PAN,2013,-2.44,,,,,
Colombia,COL,2013,0.63,,,,,
Argentina,ARG,2013,1.45,,,,,
Dominican Republic,DOM,2013,3.17,,,,,
Uruguay,URY,2013,10.01,,,,,
Ecuador,ECU,2013,10.34,,,,,
Portugal,PRT,2013,10.34,,,,,
Paraguay,PRY,2013,10.62,,,,,
Bolivia,BOL,2013,12.14,,,,,
Brazil,BRA,2013,16.89,,,,,
Finland,FIN,2013,17.63,,,,,
Spain,ESP,2013,18.75,,,,,
Chile,CHL,2013,20.55,,,,,
Czechia,CZE,2013,20.91,,,,,
Peru,PER,2013,21.33,,,,,
South Korea,KOR,2013,32.94,,,,,
Honduras,HND,2014,-15.05,,,,,
El Salvador,SLV,2014,-5.26,,,,,
Argentina,ARG,2014,-3.62,,,,,
Malaysia,MYS,2014,-1.43,,,,,
Turkey,TUR,2014,-1.26,,,,,
Guatemala,GTM,2014,0.68,,,,,
Nicaragua,NIC,2014,2.62,,,,,
Brunei,BRN,2014,2.74,,,,,
Colombia,COL,2014,2.99,,,,,
Panama,PAN,2014,4.44,,,,,
Romania,ROU,2014,4.5,,,,,
Luxembourg,LUX,2014,5.38,,,,,
Paraguay,PRY,2014,5.41,,,,,
Italy,ITA,2014,6.12,,,,,
Bolivia,BOL,2014,6.18,,,,,
Belgium,BEL,2014,6.54,,,,,
Mexico,MEX,2014,6.65,,,,,
Slovenia,SVN,2014,7,,,,,
Poland,POL,2014,7.73,,,,,
Montenegro,MNE,2014,7.78,,,,,
Dominican Republic,DOM,2014,8.25,,,,,
Uruguay,URY,2014,8.62,,,,,
Serbia,SRB,2014,8.72,,,,,
North Macedonia,MKD,2014,9.15,,,,,
Malta,MLT,2014,10.19,,,,,
Spain,ESP,2014,12.5,,,,,
Bulgaria,BGR,2014,12.66,,,,,
Ecuador,ECU,2014,12.9,,,,,
Lithuania,LTU,2014,13.29,,,,,
Sweden,SWE,2014,13.85,,,,,
Ireland,IRL,2014,13.93,,,,,
Cyprus,CYP,2014,14.15,,,,,
Norway,NOR,2014,14.45,,,,,
Hungary,HUN,2014,15.12,,,,,
France,FRA,2014,15.5,,,,,
Israel,ISR,2014,15.52,,,,,
Denmark,DNK,2014,15.96,,,,,
Brazil,BRA,2014,15.97,,,,,
Netherlands,NLD,2014,16.07,,,,,
Iceland,ISL,2014,16.55,,,,,
Finland,FIN,2014,16.93,,,,,
Latvia,LVA,2014,17.38,,,,,
Switzerland,CHE,2014,17.38,,,,,
Slovakia,SVK,2014,19.66,,,,,
Peru,PER,2014,20.51,,,,,
United Kingdom,GBR,2014,20.91,,,,,
Czechia,CZE,2014,21.16,,,,,
Austria,AUT,2014,22.22,,,,,
Germany,DEU,2014,22.29,,,,,
Estonia,EST,2014,28.16,,,,,
South Korea,KOR,2014,33.8,,,,,
Malaysia,MYS,2015,-2.25,,,,,
Paraguay,PRY,2015,-1.77,,,,,
Colombia,COL,2015,0.34,,,,,
Dominican Republic,DOM,2015,7.38,,,,,
Vietnam,VNM,2015,7.69,,,,,
Portugal,PRT,2015,9.59,,,,,
Spain,ESP,2015,12.5,,,,,
Israel,ISR,2015,15.1,,,,,
Slovakia,SVK,2015,19.1,,,,,
United Kingdom,GBR,2015,20.59,,,,,
Czechia,CZE,2015,21.12,,,,,
Russia,RUS,2015,24.42,,,,,
South Korea,KOR,2015,34.67,,,,,
Thailand,THA,2016,-21.57,,,,,
Belize,BLZ,2016,-20.03,,,,,
Ecuador,ECU,2016,-2.8,,,,,
Romania,ROU,2016,6.61,,,,,
Portugal,PRT,2016,8.54,,,,,
Vietnam,VNM,2016,10.71,,,,,
Pakistan,PAK,2016,10.81,,,,,
Finland,FIN,2016,16.34,,,,,
Czechia,CZE,2016,20.61,,,,,
South Korea,KOR,2016,33.59,,,,,
